product_id,product_name,category,pzn,price,package_size,stock_quantity,expiry_date,description,prescription_needed,drug_interactions
1001,Torrent Paracetamol 500mg,Medicine,42868828,350.35,Standard Pack,377,2026-12-03,Pain reliever and fever reducer,No,Consult doctor if taking BP medication
1002,Mankind Montelukast 10mg,Medicine,14265799,64.1,Standard Pack,111,2027-04-16,Asthma prevention,Yes,Consult doctor if taking BP medication
1003,Glenmark Sanitary Pads Pack,Sanitary,36687537,1079.71,Standard Pack,359,2028-03-01,Women hygiene product,No,Not Applicable
1004,Alkem Antiseptic Liquid,Body Care,89089901,431.72,Standard Pack,445,2026-08-27,Kills germs and bacteria,No,Not Applicable
1005,Zydus Iron Folic Acid,Supplement,47295260,250.11,Standard Pack,490,2028-10-10,Iron deficiency treatment,No,Not Applicable
1006,Sun Pharma Cetaphil Cleanser,Skincare,60992979,163.14,Standard Pack,433,2027-08-08,Gentle skin cleanser,No,Not Applicable
1007,Cipla Adult Diapers,Sanitary,71662963,813.62,Standard Pack,498,2027-09-12,Incontinence protection,No,Not Applicable
1008,Torrent Levothyroxine 50mcg,Medicine,94374605,935.41,Standard Pack,441,2027-08-26,Thyroid hormone replacement,Yes,Consult doctor if taking BP medication
1009,Cipla Vitamin D3 60000 IU,Supplement,98753260,357.29,Standard Pack,148,2026-11-10,Vitamin D supplement,No,Not Applicable
1010,Mankind Vitamin D3 60000 IU,Supplement,47308985,691.05,Standard Pack,427,2027-08-29,Vitamin D supplement,No,Not Applicable
1011,Zydus Omega 3 Fish Oil,Supplement,38119557,1011.86,Standard Pack,359,2028-07-20,Heart health supplement,No,Not Applicable
1012,Dr Reddy's Montelukast 10mg,Medicine,81691040,1099.11,Standard Pack,83,2027-12-07,Asthma prevention,Yes,No major interactions reported
1013,Lupin Aloe Vera Gel,Skincare,53524491,1267.42,Standard Pack,397,2026-10-17,Soothing skin gel,No,Not Applicable
1014,Zydus Vitamin D3 60000 IU,Supplement,63843426,416.26,Standard Pack,108,2028-03-23,Vitamin D supplement,No,Not Applicable
1015,Alkem Sunscreen SPF 50,Skincare,63100814,1329.33,Standard Pack,329,2027-12-03,UV protection lotion,No,Not Applicable
1016,Dr Reddy's Omega 3 Fish Oil,Supplement,43101783,1122.58,Standard Pack,275,2027-05-17,Heart health supplement,No,Not Applicable
1017,Abbott Baby Wipes,Sanitary,63606628,555.75,Standard Pack,70,2028-01-24,Gentle cleansing wipes,No,Not Applicable
1018,Cipla Body Lotion,Body Care,24716857,246.21,Standard Pack,81,2028-11-09,Hydrating body lotion,No,Not Applicable
1019,Sun Pharma Foot Care Cream,Body Care,61642594,584.8,Standard Pack,239,2028-02-13,Cracked heel treatment,No,Not Applicable
1020,Cipla Aloe Vera Gel,Skincare,25374874,1028.93,Standard Pack,274,2028-09-27,Soothing skin gel,No,Not Applicable
1021,Sun Pharma Acne Control Gel,Skincare,49392920,663.45,Standard Pack,232,2026-08-24,Reduces acne and pimples,No,Not Applicable
1022,Dr Reddy's Aloe Vera Gel,Skincare,78139880,1370.69,Standard Pack,445,2028-05-22,Soothing skin gel,No,Not Applicable
1023,Abbott Aloe Vera Gel,Skincare,36697396,246.2,Standard Pack,390,2027-02-02,Soothing skin gel,No,Not Applicable
1024,Cipla Face Masks Pack,Sanitary,90388981,499.75,Standard Pack,9,2026-12-13,Protective face masks,No,Not Applicable
1025,Lupin Acne Control Gel,Skincare,17774584,376.49,Standard Pack,290,2026-11-09,Reduces acne and pimples,No,Not Applicable
1026,Sun Pharma Insulin Glargine,Medicine,81498611,1153.43,Standard Pack,65,2028-06-26,Long-acting insulin,Yes,No major interactions reported
1027,Torrent Tampons Pack,Sanitary,80823176,1311.2,Standard Pack,216,2027-03-25,Menstrual hygiene product,No,Not Applicable
1028,Torrent Tampons Pack,Sanitary,63551839,1492.82,Standard Pack,332,2027-09-07,Menstrual hygiene product,No,Not Applicable
1029,Alkem Foot Care Cream,Body Care,26240908,386.9,Standard Pack,32,2027-08-02,Cracked heel treatment,No,Not Applicable
1030,Glenmark Montelukast 10mg,Medicine,40885476,890.89,Standard Pack,3,2026-11-01,Asthma prevention,Yes,Avoid with Warfarin
1031,Cipla Vitamin D3 60000 IU,Supplement,54349361,124.87,Standard Pack,121,2027-06-02,Vitamin D supplement,No,Not Applicable
1032,Glenmark Antiseptic Liquid,Body Care,27758595,1090.56,Standard Pack,451,2028-03-27,Kills germs and bacteria,No,Not Applicable
1033,Lupin Baby Wipes,Sanitary,73481353,1215.1,Standard Pack,97,2026-11-25,Gentle cleansing wipes,No,Not Applicable
1034,Zydus Pantoprazole 40mg,Medicine,66851760,628.43,Standard Pack,442,2028-09-05,Acidity treatment,Yes,Avoid with Warfarin
1035,Mankind Paracetamol 500mg,Medicine,55540424,1204.88,Standard Pack,55,2027-05-02,Pain reliever and fever reducer,No,May interact with Metformin
